SourceFile,Keywords
/Users/davidmanzer/Documents/deserttropicspools/assets/images/gallery-images/desert-tropics-custom-pools-1.jpg,"Custom Pools, Landscape"
/Users/davidmanzer/Documents/deserttropicspools/assets/images/gallery-images/desert-tropics-custom-pools-2.jpg,"Landscape, Water Feature"
/Users/davidmanzer/Documents/deserttropicspools/assets/images/gallery-images/desert-tropics-custom-pools-3.jpg,"Custom Pools, Geometric Pool, Water Feature"
/Users/davidmanzer/Documents/deserttropicspools/assets/images/gallery-images/desert-tropics-custom-pools-4.jpg,"Custom Pools, Water Feature"
/Users/davidmanzer/Documents/deserttropicspools/assets/images/gallery-images/desert-tropics-custom-pools-5.jpg,"Custom Pools, Freeform Pool, Landscape"
/Users/davidmanzer/Documents/deserttropicspools/assets/images/gallery-images/desert-tropics-custom-pools-6.jpg,"Custom Pools, Geometric Pool, Water Feature"
/Users/davidmanzer/Documents/deserttropicspools/assets/images/gallery-images/desert-tropics-custom-pools-7.jpg,"Custom Pools, Water Feature"
/Users/davidmanzer/Documents/deserttropicspools/assets/images/gallery-images/desert-tropics-custom-pools-8.jpg,"Custom Pools, Freeform Pool, Water Feature"
/Users/davidmanzer/Documents/deserttropicspools/assets/images/gallery-images/desert-tropics-custom-pools-9.jpg,"Custom Pools, Landscape, Structures"
/Users/davidmanzer/Documents/deserttropicspools/assets/images/gallery-images/desert-tropics-custom-pools-10.jpg,"Landscape, Structures"
/Users/davidmanzer/Documents/deserttropicspools/assets/images/gallery-images/desert-tropics-custom-pools-11.jpg,Structures
/Users/davidmanzer/Documents/deserttropicspools/assets/images/gallery-images/desert-tropics-custom-pools-12.jpg,"Custom Pools, Geometric Pool"
/Users/davidmanzer/Documents/deserttropicspools/assets/images/gallery-images/desert-tropics-custom-pools-13.jpg,Custom Pools
/Users/davidmanzer/Documents/deserttropicspools/assets/images/gallery-images/desert-tropics-custom-pools-14.jpg,"Custom Pools, Landscape"
/Users/davidmanzer/Documents/deserttropicspools/assets/images/gallery-images/desert-tropics-custom-pools-15.jpg,"Custom Pools, Freeform Pool, Water Feature"
/Users/davidmanzer/Documents/deserttropicspools/assets/images/gallery-images/desert-tropics-custom-pools-16.jpg,"Custom Pools, Geometric Pool"
/Users/davidmanzer/Documents/deserttropicspools/assets/images/gallery-images/desert-tropics-custom-pools-17.jpg,Custom Pools
/Users/davidmanzer/Documents/deserttropicspools/assets/images/gallery-images/desert-tropics-custom-pools-18.jpg,"Custom Pools, Geometric Pool, Water Feature"
/Users/davidmanzer/Documents/deserttropicspools/assets/images/gallery-images/desert-tropics-custom-pools-19.jpg,"Custom Pools, Freeform Pool, Landscape"
/Users/davidmanzer/Documents/deserttropicspools/assets/images/gallery-images/desert-tropics-custom-pools-20.jpg,"Custom Pools, Freeform Pool, Landscape"
/Users/davidmanzer/Documents/deserttropicspools/assets/images/gallery-images/desert-tropics-custom-pools-21.jpg,"Custom Pools, Freeform Pool, Landscape"
/Users/davidmanzer/Documents/deserttropicspools/assets/images/gallery-images/desert-tropics-custom-pools-22.jpg,"Custom Pools, Freeform Pool, Landscape"
/Users/davidmanzer/Documents/deserttropicspools/assets/images/gallery-images/desert-tropics-custom-pools-23.jpg,"Custom Pools, Water Feature"
/Users/davidmanzer/Documents/deserttropicspools/assets/images/gallery-images/desert-tropics-custom-pools-24.jpg,"Custom Pools, Freeform Pool, Water Feature"
/Users/davidmanzer/Documents/deserttropicspools/assets/images/gallery-images/desert-tropics-custom-pools-25.jpg,"Custom Pools, Freeform Pool"
/Users/davidmanzer/Documents/deserttropicspools/assets/images/gallery-images/desert-tropics-custom-pools-26.jpg,"Custom Pools, Water Feature"
/Users/davidmanzer/Documents/deserttropicspools/assets/images/gallery-images/desert-tropics-custom-pools-27.jpg,Structures
/Users/davidmanzer/Documents/deserttropicspools/assets/images/gallery-images/desert-tropics-custom-pools-28.jpg,Custom Pools
/Users/davidmanzer/Documents/deserttropicspools/assets/images/gallery-images/desert-tropics-custom-pools-29.jpg,"Custom Pools, Water Feature"
/Users/davidmanzer/Documents/deserttropicspools/assets/images/gallery-images/desert-tropics-custom-pools-30.jpg,"Custom Pools, Freeform Pool, Landscape, Water Feature"
/Users/davidmanzer/Documents/deserttropicspools/assets/images/gallery-images/desert-tropics-custom-pools-31.jpg,"Custom Pools, Freeform Pool, Structures, Water Feature"
/Users/davidmanzer/Documents/deserttropicspools/assets/images/gallery-images/desert-tropics-custom-pools-32.jpg,"Custom Pools, Geometric Pool, Water Feature"
/Users/davidmanzer/Documents/deserttropicspools/assets/images/gallery-images/desert-tropics-custom-pools-33.jpg,"Custom Pools, Geometric Pool, Water Feature"
/Users/davidmanzer/Documents/deserttropicspools/assets/images/gallery-images/desert-tropics-custom-pools-34.jpg,"Custom Pools, Geometric Pool, Water Feature"
/Users/davidmanzer/Documents/deserttropicspools/assets/images/gallery-images/desert-tropics-custom-pools-35.jpg,"Custom Pools, Geometric Pool, Water Feature"
/Users/davidmanzer/Documents/deserttropicspools/assets/images/gallery-images/desert-tropics-custom-pools-36.jpg,"Custom Pools, Water Feature"
/Users/davidmanzer/Documents/deserttropicspools/assets/images/gallery-images/desert-tropics-custom-pools-37.jpg,"Custom Pools, Landscape, Water Feature"
/Users/davidmanzer/Documents/deserttropicspools/assets/images/gallery-images/desert-tropics-custom-pools-38.jpg,"Custom Pools, Water Feature"
/Users/davidmanzer/Documents/deserttropicspools/assets/images/gallery-images/desert-tropics-custom-pools-39.jpg,"Custom Pools, Freeform Pool, Landscape, Water Feature"
/Users/davidmanzer/Documents/deserttropicspools/assets/images/gallery-images/desert-tropics-custom-pools-40.jpg,"Custom Pools, Water Feature"
/Users/davidmanzer/Documents/deserttropicspools/assets/images/gallery-images/desert-tropics-custom-pools-41.jpg,"Custom Pools, Water Feature"
/Users/davidmanzer/Documents/deserttropicspools/assets/images/gallery-images/desert-tropics-custom-pools-42.jpg,"Custom Pools, Water Feature"
/Users/davidmanzer/Documents/deserttropicspools/assets/images/gallery-images/desert-tropics-custom-pools-43.jpg,"Custom Pools, Water Feature"
/Users/davidmanzer/Documents/deserttropicspools/assets/images/gallery-images/desert-tropics-custom-pools-44.jpg,"Custom Pools, Water Feature"
/Users/davidmanzer/Documents/deserttropicspools/assets/images/gallery-images/desert-tropics-custom-pools-45.jpg,"Custom Pools, Water Feature"
/Users/davidmanzer/Documents/deserttropicspools/assets/images/gallery-images/desert-tropics-custom-pools-46.jpg,"Custom Pools, Fire Feature"
/Users/davidmanzer/Documents/deserttropicspools/assets/images/gallery-images/desert-tropics-custom-pools-47.jpg,"Custom Pools, Water Feature"
/Users/davidmanzer/Documents/deserttropicspools/assets/images/gallery-images/desert-tropics-custom-pools-48.jpg,"Custom Pools, Water Feature"
/Users/davidmanzer/Documents/deserttropicspools/assets/images/gallery-images/desert-tropics-custom-pools-49.jpg,"Custom Pools, Water Feature"
/Users/davidmanzer/Documents/deserttropicspools/assets/images/gallery-images/desert-tropics-custom-pools-50.jpg,"Custom Pools, Landscape, Water Feature"
/Users/davidmanzer/Documents/deserttropicspools/assets/images/gallery-images/desert-tropics-custom-pools-51.jpg,"Custom Pools, Water Feature"
/Users/davidmanzer/Documents/deserttropicspools/assets/images/gallery-images/desert-tropics-custom-pools-52.jpg,"Custom Pools, Fire Feature, Freeform Pool"
/Users/davidmanzer/Documents/deserttropicspools/assets/images/gallery-images/desert-tropics-custom-pools-53.jpg,"Custom Pools, Landscape, Water Feature"
/Users/davidmanzer/Documents/deserttropicspools/assets/images/gallery-images/desert-tropics-custom-pools-54.jpg,"Custom Pools, Water Feature"
/Users/davidmanzer/Documents/deserttropicspools/assets/images/gallery-images/desert-tropics-custom-pools-55.jpg,"Custom Pools, Fire Feature, Geometric Pool, Landscape, Water Feature"
/Users/davidmanzer/Documents/deserttropicspools/assets/images/gallery-images/desert-tropics-custom-pools-56.jpg,"Custom Pools, Outdoor Kitchens, Structures"
/Users/davidmanzer/Documents/deserttropicspools/assets/images/gallery-images/desert-tropics-custom-pools-57.jpg,"Custom Pools, Fire Feature, Freeform Pool, Landscape, Water Feature"
/Users/davidmanzer/Documents/deserttropicspools/assets/images/gallery-images/desert-tropics-custom-pools-58.jpg,"Custom Pools, Geometric Pool, Water Feature"
/Users/davidmanzer/Documents/deserttropicspools/assets/images/gallery-images/desert-tropics-custom-pools-59.jpg,"Custom Pools, Fire Feature, Geometric Pool, Landscape, Water Feature"
/Users/davidmanzer/Documents/deserttropicspools/assets/images/gallery-images/desert-tropics-custom-pools-60.jpg,"Custom Pools, Freeform Pool, Landscape, Water Feature"
/Users/davidmanzer/Documents/deserttropicspools/assets/images/gallery-images/desert-tropics-custom-pools-61.jpg,"Custom Pools, Geometric Pool, Landscape, Water Feature"
